Country,Years,Homicide,Burglary,Rape,Theft,Education,GDP,Unemployment,Migration
,2004,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Afghanistan,2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.46740116272613885,-0.1,-0.1
Albania,2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.6615951645716631,-0.1,-0.1
Algeria,2004,0,-0.1,0.15909880786929415,-0.1,-0.1,0.6716224815615683,0.8004534658002197,-0.1
Andorra,2004,0,-0.1,-0.1,-0.1,-0.1,0.8995196101295257,-0.1,-0.1
Angola,2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.6163983118330779,-0.1,-0.1
Anguilla,2004,0.6918787617803084,-0.1,-0.1,-0.1,-0.1,0.8284105330876623,-0.1,-0.1
"Antigua and Barbuda",2004,0.4016231838083947,-0.1,-0.1,-0.1,-0.1,0.7962143015335105,-0.1,-0.1
Argentina,2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.7142954214536519,0.7103316717558003,-0.1
Armenia,2004,0.2741504731167937,0.5597781029711563,-0.1,0.5326515845186984,-0.1,0.6097495784292264,-0.1,-0.1
Aruba,2004,0.1729696904450771,-0.1,-0.1,-0.1,-0.1,0.856197281340014,-0.1,-0.1
Australia,2004,0.1729696904450771,0.9882375843542334,-0.1,0.932702230877292,-0.1,0.8910169066126218,0.44571434504184887,-0.1
Austria,2004,0,0.999198817978541,0.47729642360788244,0.9137547038283653,-0.1,0.8974643760169607,0.49620609290338996,-0.1
Azerbaijan,2004,0.1729696904450771,0.3099237678604392,-0.1,0.3586345696893303,-0.1,0.5921187745059787,0.5758761600196804,-0.1
Bahamas,2004,0.6585570022828444,-0.1,-0.1,-0.1,-0.1,0.854008322119011,0.6376730650484089,-0.1
Bahrain,2004,0,-0.1,0.25216564438227124,-0.1,-0.1,0.8282794315205604,-0.1,-0.1
Bangladesh,2004,0.2741504731167937,-0.1,-0.1,-0.1,-0.1,0.5111038802829931,-0.1,-0.1
Barbados,2004,0.5189090713352312,0.8993996704293068,0.7882067269330074,0.723257883419109,-0.1,0.808223782740322,0.6376730650484089,-0.1
Belarus,2004,0.5189090713352312,-0.1,0.3181976157385883,0.7931722427475789,-0.1,0.6643219120143626,-0.1,-0.1
Belgium,2004,-0.1,0.9038783965260482,0.7648444371039483,0.8998109580952431,-0.1,0.894528895388359,0.5388962574422941,-0.1
Belgium***,2004,0.2741504731167937,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Belize,2004,0.8402834689152837,-0.1,-0.1,-0.1,-0.1,0.7047519502616596,-0.1,-0.1
Benin,2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.5421473596221231,-0.1,-0.1
Bermuda,2004,0.1729696904450771,0.9608785211063587,0.9616558986821021,0.8647258983848225,-0.1,0.9515742494797321,-0.1,-0.1
Bhutan,2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.5987693433398612,0.19195872000656017,-0.1
"Bolivia (Plurinational State of)",2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.5881096564211281,0.38391744001312034,-0.1
"Bosnia and Herzegovina",2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.6755391180414486,-0.1,-0.1
Botswana,2004,0.6585570022828444,-0.1,-0.1,-0.1,-0.1,0.7253836690563062,-0.1,-0.1
Brazil,2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.6993227168059979,0.6084947457936596,-0.1
"British Virgin Islands",2004,0.7212706366786644,-0.1,-0.1,-0.1,-0.1,0.8889141390268425,-0.1,-0.1
"Brunei Darussalam",2004,0,0.6651360871283226,0.44664682136536,0.6703053290042833,-0.1,0.8632970195006738,-0.1,-0.1
Bulgaria,2004,0.2741504731167937,0.7805473296559945,0.44664682136536,0.7549032770610494,-0.1,0.6937786350402415,0.6881648129099501,-0.1
"Burkina Faso",2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.5053185209368001,-0.1,-0.1
Burundi,2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.383386346066841,-0.1,-0.1
"Cabo Verde",2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.658931079316012,-0.1,-0.1
Cambodia,2004,0.3459393808901542,-0.1,-0.1,-0.1,-0.1,0.5132286827463739,0.19195872000656017,-0.1
Cameroon,2004,-0.1,-0.1,0.25216564438227124,0.500458542883616,-0.1,0.5803436740482684,-0.1,-0.1
Canada,2004,0.1729696904450771,0.9100954034430179,0.15909880786929415,0.9046990266250329,-0.1,0.886176756640814,0.5388962574422941,-0.1
"Cayman Islands",2004,0.6200898540069479,-0.1,-0.1,-0.1,-0.1,0.9342425777564574,-0.1,-0.1
"Central African Republic",2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.49608886602726704,-0.1,-0.1
Chad,2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.5336619254523608,-0.1,-0.1
Chile,2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.7464259615504997,0.6084947457936596,-0.1
China,2004,0.1729696904450771,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
"China. Hong Kong SAR",2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.863966599576739,-0.1,-0.1
"China. Hong Kong Special Administrative Region",2004,0,-0.1,0,0.7428581559636108,-0.1,-0.1,0.5388962574422941,-0.1
"China. Macao Special Administrative Region",2004,0.1729696904450771,-0.1,-0.1,-0.1,-0.1,0.8581319697470634,0.44571434504184887,-0.1
"China. People's Republic of",2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.6254350515575643,-0.1,-0.1
Colombia,2004,0.9499241300419821,-0.1,0.25216564438227124,0.5724696618469952,-0.1,0.676102074226448,0.7308549774488542,-0.1
Comoros,2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.6092737406848978,-0.1,-0.1
Congo,2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.6163983118330779,-0.1,-0.1
"Cook Islands",2004,-0.1,-0.1,-0.1,-0.1,-0.1,0.7810121886368004,-0.1,-0.1
"Costa Rica",2004,0.4855873118377673,-0.1,-0.1,0.6162071149676385,-0.1,0.7170414149180705,0.49620609290338996,-0.1
"Cote d'Ivoire",2004,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Croatia,2004,0.1729696904450771,0.8589808350295416,0.3181976157385883,0.7716953725968756,-0.1,0.7821275244560877,0.7308549774488542,-0.1
Cuba,2004,0.4471201635618708,-0.1,-0.1,-0.1,-0.1,0.6945104956183324,0.19195872000656017,-0.1
Cyprus,2004,0.1729696904450771,0.7793181139694755,0.3181976157385883,0.5547669205057735,-0.1,0.8606440196306139,0.38391744001312034,-0.1
